    [-9.9840, 58.2559, -16.1937, -26.6322],
    [-9.9840, 58.1212, -16.0623, -26.6322],
    [-9.9840, 57.9906, -15.9352, -26.6322],
    [-9.9840, 57.8601, -15.8083, -26.6322],
    [-9.9840, 57.7258, -15.6780, -26.6322],
    [-9.9840, 57.5955, -15.5518, -26.6322],
    [-9.9840, 57.4652, -15.4259, -26.6322],
    [-9.9840, 57.3311, -15.2965, -26.6322],
    [-9.9840, 57.2010, -15.1712, -26.6322],
    [-9.9840, 57.0710, -15.0463, -26.6322],
    [-9.9840, 56.9372, -14.9178, -26.6322],
    [-9.9840, 56.8073, -14.7935, -26.6322],
    [-9.9840, 56.6776, -14.6695, -26.6322],
    [-9.9840, 56.5440, -14.5420, -26.6322],
    [-9.9840, 56.4144, -14.4185, -26.6322],
    [-9.9840, 56.2848, -14.2954, -26.6322],
    [-9.9840, 56.1515, -14.1688, -26.6322],
    [-9.9840, 56.0221, -14.0463, -26.6322],
    [-9.9840, 55.8928, -13.9241, -26.6322],
    [-9.9840, 55.7596, -13.7985, -26.6322],
    [-9.9840, 55.6305, -13.6768, -26.6322],
    [-9.9840, 55.5014, -13.5555, -26.6322],
    [-9.9840, 55.3685, -13.4308, -26.6322],
    [-9.9840, 55.2396, -13.3101, -26.6322],
    [-9.9840, 55.1107, -13.1896, -26.6322],
    [-9.9840, 54.9780, -13.0658, -26.6322],
    [-9.9840, 54.8493, -12.9459, -26.6322],
    [-9.9840, 54.7206, -12.8264, -26.6322],
    [-9.9840, 54.5881, -12.7034, -26.6322],
    [-9.9840, 54.4596, -12.5845, -26.6322],
    [-9.9840, 54.3312, -12.4657, -26.6322],
    [-9.9840, 54.1989, -12.3437, -26.6322],
    [-9.9840, 54.0706, -12.2256, -26.6322],
    [-9.9840, 53.9423, -12.1077, -26.6322],
    [-9.9840, 53.8103, -11.9866, -26.6322],
    [-9.9840, 53.6821, -11.8693, -26.6322],
    [-9.9840, 53.5541, -11.7523, -26.6322],
    [-9.9840, 53.4222, -11.6320, -26.6322],
    [-9.9840, 53.2943, -11.5156, -26.6322],
    [-9.9840, 53.1664, -11.3994, -26.6322],
    [-9.9840, 53.0347, -11.2800, -26.6322],
    [-9.9840, 52.9070, -11.1644, -26.6322],
    [-9.9840, 52.7793, -11.0491, -26.6322],
    [-9.9840, 52.6478, -10.9305, -26.6322],
