q1_deg,q2_deg,q3_deg,q4_deg
13.9831,-2.6359,16.4348,-84.3641
13.9831,-2.5221,16.4287,-84.3153
13.9831,-2.5220,16.4285,-84.3490
13.9831,-2.4102,16.4222,-84.3006
13.9831,-2.4101,16.4220,-84.3340
13.9831,-2.2959,16.4153,-84.2849
13.9831,-2.2958,16.4151,-84.3189
13.9831,-2.1835,16.4081,-84.2702
13.9831,-2.1834,16.4080,-84.3038
13.9831,-2.0688,16.4006,-84.2545
13.9831,-2.0686,16.4004,-84.2888
13.9831,-1.9560,16.3928,-84.2398
13.9831,-1.9559,16.3926,-84.2738
13.8787,-1.8686,16.4258,-84.2193
13.8787,-1.8684,16.4255,-84.3169
13.8787,-1.7553,16.4173,-84.2448
13.8787,-1.7551,16.4171,-84.2874
13.8787,-1.6396,16.4084,-84.2346
13.8787,-1.6395,16.4082,-84.2705
13.8787,-1.5259,16.3993,-84.2207
13.8787,-1.5258,16.3991,-84.2553
13.8787,-1.4099,16.3897,-84.2052
13.8787,-1.4097,16.3895,-84.2403
13.8787,-1.2958,16.3800,-84.1907
13.8787,-1.2957,16.3798,-84.2254
13.7722,-1.2071,16.4116,-84.1702
13.7721,-1.2069,16.4112,-84.2715
13.7721,-1.0925,16.4010,-84.1969
13.7721,-1.0924,16.4009,-84.2412
13.7721,-0.9755,16.3901,-84.1873
13.7721,-0.9754,16.3900,-84.2242
13.7721,-0.8606,16.3791,-84.1737
13.7721,-0.8605,16.3790,-84.2091
13.7721,-0.7432,16.3676,-84.1584
13.7721,-0.7431,16.3674,-84.1943
13.6676,-0.6548,16.3966,-84.1392
13.6676,-0.6545,16.3963,-84.2407
13.6676,-0.5368,16.3842,-84.1643
13.6676,-0.5367,16.3840,-84.2103
13.6676,-0.4210,16.3719,-84.1561
13.6676,-0.4209,16.3717,-84.1933
13.6676,-0.3028,16.3590,-84.1417
13.6676,-0.3027,16.3588,-84.1783
13.6676,-0.1867,16.3461,-84.1276
13.6676,-0.1866,16.3459,-84.1636
13.5609,-0.0949,16.3737,-84.1073
13.5608,-0.0947,16.3733,-84.2128
13.5608,0.0218,16.3599,-84.1345
13.5608,0.0219,16.3597,-84.1817
13.5608,0.1409,16.3457,-84.1260
