[q1_deg,q2_deg,q3_deg,q4_deg],
[-34.1883,24.4633,-4.5701,93.1163],
[-34.1883,24.3070,-4.5016,93.1163],
[-34.1883,24.1539,-4.4350,93.1163],
[-34.0883,23.9237,-4.2245,93.1163],
[-34.0882,23.7709,-4.1593,93.1163],
[-34.0882,23.6153,-4.0929,93.1163],
[-34.0882,23.4630,-4.0284,93.1163],
[-33.9899,23.2347,-3.8235,93.1163],
[-33.9898,23.0827,-3.7604,93.1163],
[-33.9898,22.9278,-3.6962,93.1163],
[-33.9898,22.7762,-3.6338,93.1163],
[-33.8894,22.5471,-3.4289,93.1163],
[-33.8893,22.3958,-3.3678,93.1163],
[-33.8893,22.2417,-3.3058,93.1163],
[-33.7906,22.0175,-3.1071,93.1163],
[-33.7904,21.8637,-3.0464,93.1163],
[-33.7904,21.7131,-2.9872,93.1163],
[-33.6895,21.4849,-2.7866,93.1163],
[-33.6894,21.3346,-2.7287,93.1163],
[-33.5902,21.1082,-2.5326,93.1163],
[-33.5901,20.9583,-2.4757,93.1163],
[-33.5901,20.8055,-2.4180,93.1163],
[-33.4887,20.5811,-2.2224,93.1163],
[-33.4886,20.4287,-2.1660,93.1163],
[-33.4886,20.2765,-2.1098,93.1163],
[-33.3890,20.0540,-1.9191,93.1163],
[-33.3889,19.9022,-1.8643,93.1163],
[-33.2870,19.6785,-1.6725,93.1163],
[-33.2869,19.5270,-1.6187,93.1163],
